No dropout on conv blocks:
- low bias, very high variance.

epoch,accuracy,loss,val_accuracy,val_loss
0,0.6202999949455261,0.668727695941925,0.631600022315979,0.6206241250038147
1,0.7150499820709229,0.5570201277732849,0.7623999714851379,0.4928975999355316
2,0.7723000049591064,0.4860091805458069,0.7617999911308289,0.47750186920166016
3,0.8025500178337097,0.4294624924659729,0.7621999979019165,0.4840605854988098
4,0.8277000188827515,0.38557133078575134,0.826200008392334,0.37832769751548767
5,0.8555499911308289,0.33621475100517273,0.6812000274658203,0.6536861658096313
6,0.8756999969482422,0.2961030900478363,0.7594000101089478,0.5001146197319031
7,0.8895999789237976,0.26652979850769043,0.7815999984741211,0.4617207944393158
8,0.9085000157356262,0.2217257022857666,0.8539999723434448,0.3588504493236542
9,0.9208499789237976,0.19429732859134674,0.7925999760627747,0.4988754391670227
10,0.9327499866485596,0.16563966870307922,0.7081999778747559,0.9620850682258606
11,0.9448999762535095,0.138451486825943,0.823199987411499,0.4333600103855133
12,0.9601500034332275,0.10686345398426056,0.870199978351593,0.38522452116012573
13,0.9646999835968018,0.09029985964298248,0.8478000164031982,0.40861132740974426
14,0.9700499773025513,0.08088217675685883,0.8672000169754028,0.3955772817134857
15,0.972000002861023,0.07259370386600494,0.870199978351593,0.36589592695236206
16,0.9786999821662903,0.057149000465869904,0.8795999884605408,0.3934795558452606
17,0.9782000184059143,0.061068229377269745,0.8343999981880188,0.5683553218841553
18,0.9818999767303467,0.050632111728191376,0.8342000246047974,0.6310779452323914
19,0.98294997215271,0.051117561757564545,0.8769999742507935,0.40176156163215637

Epoch 18/30
625/625 [==============================] - 224s 359ms/step - loss: 0.0611 - accuracy: 0.9782 - val_loss: 0.5684 - val_accuracy: 0.8344
Epoch 19/30
625/625 [==============================] - 223s 357ms/step - loss: 0.0506 - accuracy: 0.9819 - val_loss: 0.6311 - val_accuracy: 0.8342
Epoch 20/30
625/625 [==============================] - 224s 359ms/step - loss: 0.0511 - accuracy: 0.9829 - val_loss: 0.4018 - val_accuracy: 0.8770
